ID,Nome,latitude,longitude
249,Praça da Rua Água Preta,-8.123178781,-34.94748407
250,Praça da Vtiória,-8.094423466,-34.93421939
251,Praça da Avenida da Recuperação,-7.987094409,-34.93509587
252,Praça Vale do Siriji,-8.036230847,-34.97685972
253,Praça da Rua Solanea,-8.116536938,-34.95369235
254,Praca Arlindo Araujo Filho,-8.070507075,-34.93289333
255,Praça Cais Edgar Amorim,-8.037148563,-34.90625213
256,Parque Dona Lindu,-8.14134971,-34.90415197
257,Praça Professor Rutilho,-8.088984264,-34.96728722
258,Praça Professor Rutilho,-8.088673735,-34.96701413
259,Praça Simon Bolivar,-8.03719613,-34.87002708
260,Praça Simon Bolivar,-8.03754857,-34.87007163
261,Praça Memorial Arco Verde,-8.036608071,-34.87010932
262,Praça Memorial Arco Verde,-8.03610835,-34.87077364
263,Praça da Avenida Maurício de Nassau,-8.043500973,-34.92234616
264,Praça da Avenida Maurício de Nassau,-8.043888562,-34.92246046
265,Praça Silva Jardim,-8.02777343,-34.92886297
266,Praça Quartel General,-8.05811559,-34.88327215
267,Praça José da Mota Silveira,-8.0564113,-34.90379033
268,Praça Joca Leal,-8.026715931,-34.91874033
269,Praça Amaro Lopes/da Fumaça,-8.023460228,-34.90806016
270,Parque Sítio da Trindade/Arraial V. do Bom Jesus,-8.030021972,-34.91275685
271,Praça José Bonifácio,-8.012440826,-34.91357212
272,Praça Jenner de Souza,-8.054924707,-34.90034744
273,Praça Otávio de Freitas,-8.057887213,-34.90050161
274,Praça da Rua José Pimentel,-8.114548305,-34.91848104
275,Largo Dom Luiz,-8.020885691,-34.91734692
276,Praça General Euler Bentes/da Sudene,-8.113887535,-34.92190533
277,Praça do Monteiro,-8.127494322,-34.94578104
278,Praça Maria Vitalina Gonçalves da Rocha,-8.063929747,-34.92180501
279,PRC SENHOR BARTOLOMEU,-8.017911929,-34.93295864
280,Praça da Quadra,-8.012731231,-34.92137623
281,Praça Sitio Grande,-8.019765636,-34.92688557
282,Praça Nadir Colaco,-8.016750179,-34.92925896
283,Praça José Vieira,-8.087220203,-34.90516133
284,Praça José Vieira,-8.086877574,-34.90536075
285,Praça da Morena,-8.116369718,-34.94830291
286,Praça da Morena,-8.11617109,-34.94890321
287,Praça Campo do Lagoão,-8.128845111,-34.95083215
288,Praça Boco-Moco/da UR 5,-8.132747044,-34.94970258
289,Praça Nova Esperança,-8.030824123,-34.93262109
290,Praça Maracangaia,-8.116811063,-34.9546874
291,Parque Exposição do Cordeiro,-8.044744487,-34.92535678
292,Praça Flor de Cheiro,-8.120125345,-34.95710594
293,Praça João Felipe Santiago,-8.118819683,-34.95492513
294,Praça Gonçalo Leitão,-8.128727997,-34.94708775
295,Praça da rua Itacambira,-8.105712489,-34.91999826
296,Praça da Rua Arquiteto Luiz Nunes,-8.089276206,-34.91049532
297,Praça da Avenida Engenheiro Abdias de Carvalho,-8.067910349,-34.93832462
298,Praça da Avenida Engenheiro Abdias de Carvalho,-8.065952236,-34.93789124
299,Praça do Largo da ponte do Motocolombo,-8.082850417,-34.90642201
300,Praça Rafael de Oliveira Alves,-8.075239891,-34.94558515
301,Praça Truaca/Tempo de Crescer,-8.111212827,-34.95146858
302,Praça Tempo de Crescer,-8.111087025,-34.95081999
303,Praça Luiz de Lacerda,-8.036268228,-34.94338123
304,Praça do Caixito,-8.074056853,-34.93108626
305,Praça Boco-Moco/da UR 5,-8.133478736,-34.95051865
306,Praça Ministro Salgado Filho,-8.133597383,-34.91695028
307,Praça da Rua Riacho Doce,-8.112307346,-34.95126004
